,index,Id,PID,MS SubClass,MS Zoning,Lot Frontage,Lot Area,Street,Alley,Lot Shape,Land Contour,Utilities,Lot Config,Land Slope,Neighborhood,Condition 1,Condition 2,Bldg Type,House Style,Overall Qual,Overall Cond,Year Built,Year Remod/Add,Roof Style,Roof Matl,Exterior 1st,Exterior 2nd,Mas Vnr Type,Mas Vnr Area,Exter Qual,Exter Cond,Foundation,Bsmt Qual,Bsmt Cond,Bsmt Exposure,BsmtFin Type 1,BsmtFin SF 1,BsmtFin Type 2,BsmtFin SF 2,Bsmt Unf SF,Total Bsmt SF,Heating,Heating QC,Central Air,Electrical,1st Flr SF,2nd Flr SF,Low Qual Fin SF,Gr Liv Area,Bsmt Full Bath,Bsmt Half Bath,Full Bath,Half Bath,Bedroom AbvGr,Kitchen AbvGr,Kitchen Qual,TotRms AbvGrd,Functional,Fireplaces,Fireplace Qu,Garage Type,Garage Yr Blt,Garage Finish,Garage Cars,Garage Area,Garage Qual,Garage Cond,Paved Drive,Wood Deck SF,Open Porch SF,Enclosed Porch,3Ssn Porch,Screen Porch,Pool Area,Pool QC,Fence,Misc Feature,Misc Val,Mo Sold,Yr Sold,Sale Type,SalePrice,split
0,0,109,533352170,60,RL,7420.122878017242,13517,Pave,NA,2,Lvl,3,CulDSac,2,Sawyer,RRAe,Norm,1Fam,2Story,6,8,1976,2005,Gable,CompShg,HdBoard,Plywood,BrkFace,289.0,3,2,CBlock,4,4,2,7,533.0,2,0.0,192.0,725.0,GasA,4,Y,3.0,725,754,0,1479,0.0,0.0,2,1,3,1,3,6,7,0,0,Attchd,1976.0,3,2.0,475.0,2,2,2,0,44,0,0,0,0,0,0,NA,0,3,2010,WD ,130500.0,Train
1,1,544,531379050,60,RL,43.0,11492,Pave,NA,2,Lvl,3,CulDSac,2,SawyerW,Norm,Norm,1Fam,2Story,7,5,1996,1997,Gable,CompShg,VinylSd,VinylSd,BrkFace,132.0,3,2,PConc,5,4,2,7,637.0,2,0.0,276.0,913.0,GasA,4,Y,3.0,913,1209,0,2122,1.0,0.0,2,1,4,1,3,8,7,1,4,Attchd,1997.0,3,2.0,559.0,2,2,2,0,74,0,0,0,0,0,0,NA,0,4,2009,WD ,220000.0,Train
2,2,153,535304180,20,RL,68.0,7922,Pave,NA,3,Lvl,3,Inside,2,NAmes,Norm,Norm,1Fam,1Story,5,7,1953,2007,Gable,CompShg,VinylSd,VinylSd,None,0.0,2,3,CBlock,4,4,2,7,731.0,2,0.0,326.0,1057.0,GasA,2,Y,3.0,1057,0,0,1057,1.0,0.0,1,0,3,1,3,5,7,0,0,Detchd,1953.0,3,1.0,246.0,2,2,2,0,52,0,0,0,0,0,0,NA,0,1,2010,WD ,109000.0,Train
3,3,318,916386060,60,RL,73.0,9802,Pave,NA,3,Lvl,3,Inside,2,Timber,Norm,Norm,1Fam,2Story,5,5,2006,2007,Gable,CompShg,VinylSd,VinylSd,None,0.0,2,2,PConc,5,4,2,2,0.0,2,0.0,384.0,384.0,GasA,3,Y,3.0,744,700,0,1444,0.0,0.0,2,1,3,1,2,7,7,0,0,BuiltIn,2007.0,4,2.0,400.0,2,2,2,100,0,0,0,0,0,0,0,NA,0,4,2010,WD ,174000.0,Train
4,4,255,906425045,50,RL,82.0,14235,Pave,NA,2,Lvl,3,Inside,2,SawyerW,Norm,Norm,1Fam,1.5Fin,6,8,1900,1993,Gable,CompShg,Wd Sdng,Plywood,None,0.0,2,2,PConc,3,5,2,2,0.0,2,0.0,676.0,676.0,GasA,2,Y,3.0,831,614,0,1445,0.0,0.0,2,0,3,1,2,6,7,0,0,Detchd,1957.0,3,2.0,484.0,2,2,0,0,59,0,0,0,0,0,0,NA,0,3,2010,WD ,138500.0,Train
5,5,138,535126040,20,RL,137.0,16492,Pave,NA,2,Lvl,3,Corner,2,NAmes,PosA,Norm,1Fam,1Story,6,6,1966,2002,Gable,CompShg,BrkFace,Plywood,None,0.0,3,2,CBlock,4,4,2,6,247.0,4,713.0,557.0,1517.0,GasA,4,Y,3.0,1888,0,0,1888,0.0,0.0,2,1,2,1,3,6,4,1,5,Attchd,1966.0,4,2.0,578.0,2,2,2,0,0,0,0,0,0,0,0,NA,0,6,2010,WD ,190000.0,Train
6,6,2827,908186070,180,RM,35.0,3675,Pave,NA,3,Lvl,3,Inside,2,Edwards,Norm,Norm,TwnhsE,SFoyer,6,5,2005,2006,Gable,CompShg,VinylSd,VinylSd,BrkFace,82.0,2,2,PConc,5,4,4,7,547.0,2,0.0,0.0,547.0,GasA,3,Y,3.0,1072,0,0,1072,1.0,0.0,2,0,2,1,2,5,7,0,0,Basment,2005.0,4,2.0,525.0,2,2,2,0,44,0,0,0,0,0,0,NA,0,6,2006,New,140000.0,Train
7,7,145,535154050,20,RL,6675.120854430435,12160,Pave,NA,2,Lvl,3,Inside,2,NAmes,Norm,Norm,1Fam,1Story,5,5,1959,1959,Hip,CompShg,Plywood,Plywood,BrkFace,180.0,2,2,CBlock,4,4,2,4,1000.0,2,0.0,188.0,1188.0,GasA,1,Y,3.0,1188,0,0,1188,1.0,0.0,1,0,3,1,2,6,7,0,0,Attchd,1959.0,3,2.0,531.0,2,2,2,0,0,0,0,0,0,0,3,NA,0,5,2010,COD,142000.0,Train
8,8,1942,535353130,20,RL,8664.171946143775,15783,Pave,NA,3,Lvl,3,Inside,2,OldTown,Artery,Norm,1Fam,1Story,5,5,1952,1952,Gable,CompShg,Wd Sdng,Wd Sdng,None,0.0,2,2,CBlock,4,4,2,4,292.0,2,0.0,632.0,924.0,GasA,2,Y,3.0,924,0,0,924,0.0,0.0,1,0,2,1,2,6,7,0,0,Detchd,1952.0,3,1.0,420.0,2,2,2,0,324,0,0,0,0,0,3,Shed,400,6,2007,WD ,112500.0,Train
9,9,1956,535426130,60,RL,70.0,11606,Pave,NA,2,HLS,3,Inside,0,NAmes,Norm,Norm,1Fam,2Story,5,5,1969,1969,Gable,CompShg,Plywood,Plywood,BrkFace,192.0,2,2,PConc,5,4,3,4,650.0,2,0.0,390.0,1040.0,GasA,2,Y,3.0,1040,1040,0,2080,0.0,1.0,1,2,5,1,1,9,7,2,4,Attchd,1969.0,3,2.0,504.0,2,2,2,335,0,0,0,0,0,0,0,NA,0,9,2007,WD ,135000.0,Train
10,10,1044,527451290,160,RM,21.0,1680,Pave,NA,3,Lvl,3,Inside,2,BrDale,Norm,Norm,Twnhs,2Story,6,5,1971,1971,Gable,CompShg,HdBoard,HdBoard,BrkFace,232.0,2,2,CBlock,4,4,2,6,387.0,2,0.0,96.0,483.0,GasA,2,Y,3.0,483,504,0,987,0.0,0.0,1,1,2,1,2,4,7,0,0,Detchd,1971.0,3,1.0,264.0,2,2,2,0,0,0,0,0,0,0,0,NA,0,7,2008,COD,85400.0,Train
11,11,2752,906380150,20,RL,64.0,7488,Pave,NA,2,Lvl,3,Inside,2,CollgCr,Norm,Norm,1Fam,1Story,7,5,2005,2005,Gable,CompShg,VinylSd,VinylSd,None,0.0,3,2,PConc,5,4,3,7,393.0,2,0.0,815.0,1208.0,GasA,4,Y,3.0,1208,0,0,1208,0.0,0.0,2,0,2,1,3,6,7,0,0,Attchd,2005.0,3,2.0,632.0,2,2,2,105,58,0,0,0,0,0,0,NA,0,2,2006,WD ,183600.0,Train
12,12,807,906226060,70,RL,120.0,26400,Pave,NA,3,Bnk,3,FR2,2,SawyerW,Feedr,Norm,1Fam,2Story,5,7,1880,2007,Gable,CompShg,HdBoard,HdBoard,None,0.0,3,2,PConc,0,0,0,0,0.0,0,0.0,0.0,0.0,GasA,4,Y,3.0,1288,728,0,2016,0.0,0.0,1,0,4,1,2,7,4,1,4,Attchd,1900.0,3,2.0,576.0,2,2,1,0,0,0,0,0,0,0,0,NA,0,6,2009,WD ,131000.0,Train
13,13,1177,533236070,160,FV,24.0,2645,Pave,Pave,3,Lvl,3,Inside,2,Somerst,Norm,Norm,Twnhs,2Story,8,5,1999,2000,Gable,CompShg,MetalSd,MetalSd,BrkFace,456.0,3,2,PConc,5,4,2,7,813.0,2,0.0,147.0,960.0,GasA,4,Y,3.0,962,645,0,1607,1.0,0.0,2,1,3,1,3,7,7,0,0,Detchd,2000.0,3,2.0,480.0,2,2,2,169,0,0,0,0,0,0,0,NA,0,12,2008,ConLD,200000.0,Train
14,14,1480,907418040,20,RL,74.0,9627,Pave,NA,3,Lvl,3,Inside,2,CollgCr,Norm,Norm,1Fam,1Story,7,5,2007,2007,Gable,CompShg,VinylSd,VinylSd,None,0.0,3,2,PConc,5,4,3,7,24.0,2,0.0,1327.0,1351.0,GasA,4,Y,3.0,1361,0,0,1361,0.0,0.0,2,0,3,1,3,6,7,0,0,Attchd,2007.0,3,2.0,610.0,2,2,2,0,50,0,0,0,0,0,0,NA,0,6,2008,WD ,193000.0,Train
